English, Tamil
i am sent by the snakes to fetch the excellent amrita, அமுதத்தை அபகரித்துக் கொண்டு வரும் அளவுக்கு நான் பலவானாக
indeed, வேறு ஏதாவது உணவை எனக்குக் காட்டுவீராக
i shall fetch it today for emancipating my mother from her bondage, எனது பசியையும் தாகத்தையும் தணித்துக் கொள்ளத் தகுந்த உணவைச் சுட்டிக் காட்டுங்கள் என்று சொன்னான் கருடன்
my mother command me, கசியபர் கருடனிடம்
saying, நீ காணும் இந்த ஏரி மிகவும் புனிதமானது
eat thou the nishadas, தேவலோகத்திலும் இஃது அறியப்பட்டிருக்கிறது
i have eaten them by thousands, முகம் கீழ்நோக்க
but my hunger is not appeased, தொடர்ந்து தனது அண்ணனான ஆமையை இழுத்துக் கொண்டிருக்கும் ஒரு யானை இதில் இந்த ஏரியில் இருக்கிறது
therefore, முற்பிறவியிலிருந்தே அந்த இருவருக்குள்ளும் இருக்கும் பகை பற்றி உனக்கு விரிவாகச் சொல்கிறேன்
o worshipful one, அவர்கள் ஏன் இங்கிருக்கிறார்கள் என்பதை விரிவாகச் சொல்கிறேன் கவனமாகக் கேள்
point out to me some other food, முன்பொரு காலத்தில் விபாவசூர் என்று ஒரு பெரும்முனிவர் இருந்தார்
by eating which, அவர் மிகுந்த கோபக்காரராகவும் இருந்தார்
o master, அவருக்குச் சுப்ரதீகன் என்று ஒரு தம்பி இருந்தான்
i may be strong enough to bring away amrita by force, பின்னவன் தம்பி சுப்ரதீகன் தனது செல்வத்தை அண்ணனுடன் விபாவசுவுடன் கூட்டாக வைத்துக் கொள்ள விருப்பமில்லாதவனாக இருந்தான்
thou shouldst indicate some food wherewith i may appease my hunger and thirst, சுப்ரதீகன் எப்போதும் பாகப்பிரிவினை குறித்தே பேசிக் கொண்டிருந்தான்
kasyapa replied, சில காலம் கழித்து விபாவசூர் சுப்ரதீகனைப் பார்த்து
this lake thou seest is sacred, செல்வத்தின் மீதுள்ள கண்மூடித்தனமான ஆசையால்
it hath been heard, மனிதர்கள் தங்கள் தந்தைவழியில் வந்த பரம்பரைச் செல்வங்களைப் பிரித்துக் கொள்ள ஆசைப்படுவது பெரிய முட்டாள்தனமாகும்
of even in the heavens, பரம்பரைச் சொத்தைப் பிரித்துக் கொண்ட பிறகு
there is an elephant, செல்வம் தரும் மயக்கத்தினால் ஒருவருக்கொருவர் சண்டையிட்டுக் கொண்டே இருப்பர்
with face downwards, அப்போது அறிவற்றவர்களுக்கும்
who continually draggeth a tortoise, சுயநலம் கொண்டவர்களுக்கும் சொத்தைப் பிரித்துக் கொண்டவர்கள் இடையே நண்பர்கள் என்ற போர்வையில் இருக்கும் எதிரிகளால்
his elder brother, குறைகள் சுட்டிக்காட்டப்பட்டுப் பேதங்கள் உருவாக்கப்பட்டு
i shall speak to you in detail of their hostility in former le, பூசல் பலமாகி
just listen as i tell you why they are here, அதனால் பின்னவர்கள் சொத்தைப் பிரித்துக் கொண்டவர்கள் ஒருவர் பின் ஒருவராக விழுவர்
there was of old a great rishi of the name of vibhavasu, முழுமையான கேடு பிரிந்தவர்களை வெகு விரைவாக வந்தடையும்
he was exceedingly wrathful, இதன் காரணமாகவே ஞானமுள்ளவர்கள் சகோதரர்களுக்குள் பிரிவினையை ஆமோதிக்கமாட்டார்கள்
he had a younger brother of the name of supritika, அப்படிப் பிரியும் சகோதரர்கள் அதிகாரபூர்வமான சாத்திரங்களைப் புறந்தள்ளி
the latter was averse to keeping his wealth jointly with his brothers, ஒருவர் மீது ஒருவர் பயங்கொண்டு வாழ்வர்
and supritika would always speak of partition, ஆனால் சுப்ரதீகா
after some time his brother vibhavasu told supritika, நீ எனது அறிவுரைகளை ஏற்காமல் எப்போதும் பிரிவினையிலேயே ஆவல்கொண்டு உனது தனிப்பட்ட செல்வத்திற்கு ஏற்பாடு செய்வதற்கே விரும்புகிறாய்
it is from great foolishness that persons blinded by love of wealth always desire to make a partition of their patrimony, ஆகையால் நீ யானையாகக் கடவாய் என்று சபித்தார் விபாவசூர்
after effecting a partition they fight with each other, இப்படிச் சபிக்கப்பட்ட சுப்ரதீகன் விபாவசூரைப் பார்த்து
deluded by wealth, நீயும்
then again, நீர் நடுவில் நகரும் ஆமையாகக் கடவாய் என்று பதிலுக்குச் சபித்தான்
enemies in the guise of friends cause estrangements between ignorant and selfish men alter they become separated in wealth, இப்படிப்பட்ட முட்டாள்களான சுப்ரதீகன்
and pointing out faults confirm their quarrels, விபாவசூர் ஆகிய அந்த இருவரும் செல்வத்தின் காரணமாக ஒருவருக்கொருவர் சபித்துக் கொண்டு முறையே யானையாகவும்
so that the latter soon fall one by one, ஆமையாகவும் ஆனார்கள்
absolute ruin very soon overtakes the separated, அவர்களின் கோபத்தால் இப்படித் தாழ்ந்த விலங்குகளாகினர்
for these reasons the wise never speak approvingly of partition amongst brothers who, அவர்கள் தங்கள் பெரும்பலத்திலும்
when divided, உடல் எடையிலும் கர்வங்கொண்டு தங்களுக்குள் எப்போதும் பகை வளர்த்தே வருகின்றனர்
do not regard the most authoritative sastras and live always in fear of each other, இந்த ஏரியில் அந்தப் பெரும் உடல் கொண்ட இரு விலங்குகளும் தங்கள் முற்பிறவிப் பகைக்குப் பொருத்தமாகவே நடந்து வருகின்றனர்
but as thou, இதோ பார்
supritika, அவர்களில் ஒருவனான
without regarding my advice impelled by desire of separation, பெருத்த உடலுடைய இந்த அழகான யானை
always wishest to make an arrangement about your property, இப்போதுகூட சண்டையிட நெருங்குகிறது
thou shall become an elephant, நீரினுள்ளே வசிக்கும் பெரும் உடலைக் கொண்ட ஆமையும்
supritika, யானையின் பிளிறலைக் கேட்டு
thus cursed, வெளியே வந்து ஏரியை முரட்டுத்தனமாகக் கலக்குகிறது
then spake unto vibhavasu, ஆமையைப் பார்த்ததும் யானையும் தனது துதிக்கையைச் சுழற்றிக் கொண்டு நீருக்குள் ஓடுகிறது
thou also shall become a tortoise moving in the midst of the waters, பெரும் சக்தியைத் தன்னுள் கொண்டு
and thus on account of wealth those two fools, தன் தந்தங்களின் அசைவாலும்
supritika and vibhavasu, தனது துதிக்கை
from each others curse, வால் மற்றும் கால்களாலும் மீன்கள் நிறைந்த ஏரியின் நீரைக் கலக்குகிறது
have become an elephant and a tortoise respectively, பெரும் பலம் கொண்ட ஆமையும் தனது தலையைத் தூக்கி
owing to their wrath, தாக்குவதற்காக முன்னே வருகிறது
they have both become inferior animals, யானை
and they are engaged in hostilities with each other, ஆறு யோஜனை x = மைல்கள் உயரமும்
proud of their excessive, அதைவிட இருமடங்கு சுற்றளவும் மைல்கள் கொண்டிருக்கிறது
strength and the weight of their bodies, ஆமை
and in this lake those two beings of huge bodies are engaged in acts according to their former hostility, மூன்று யோஜனை மைல்கள் உயரமும்
look here, பத்து யோஜனை மைல்கள் சுற்றளவும் கொண்டிருக்கிறது
one amongst them, பைத்தியக்காரத் தனமாக ஒருவரை ஒருவர் கொல்வதற்காகத் தாக்குதலுக்குத் தயாராக இருக்கும் இந்த இருவரையும் உணவாகக் கொண்டுவிட்டு
the handsome elephant of huge body, பிறகு நீ விரும்பும் காரியத்தை நிறைவேற்றிக் கொள்வாயாக
is even now approaching, மலையைப் போன்றும்
hearing his roar, கருமேகங்களின் கூட்டம் போன்றும் தெரியும் மூர்க்கமான அந்த யானையையைத் தின்று
the tortoise also of huge body, அமுதத்தைக் கொண்டு வா என்றார் கசியபர்
living within the waters, சௌதி தொடர்ந்தார்
cometh out, கருடனிடம் இப்படிச் சொல்லி
agitating the lake violently, தேவர்களுடன் போரிடும்போது நீ ஆசீர்வதிக்கப்பட்டிருப்பாய்
and seeing him the elephant, ஓ முட்டையிடும் இனமே! பறவை இனம் - முட்டையிட்டுக் குஞ்சு பொறிக்கும் பூரணகும்பமும்
curling his trunk, பிராமணர்களும்
rusheth into the water, பசுக்களும்
and endued with great energy, மற்றும் பிற புனித பொருள்களும் உன்னை ஆசீர்வதிக்கட்டும்
with motion of his tusks and fore-part of his trunk and tail and feet, ஓ பெரும்பலம் வாய்ந்தவனே! நீ தேவர்களுடன் போரிடும்போது
he agitates the water of the lake abounding with fishes, ரிக்
and the tortoise also of great strength, யஜூர்
with upraised head, சாமங்களும்
cometh forward for an encounter, புனிதமான வேள்வி நெய்யும்
and the elephant is six yojanas in height and twice that measure in circumference, அனைத்துப் புதிர்களும் உபநிஷத்துகளும்
and the height of the tortoise also is three yojanas and his circumference ten, உன்னை வலிமையாக்கட்டும் என்று அவனை கருடனை ஆசீர்வதித்தார் கசியபர்
eat thou up both of them that are madly engaged in the encounter and bent upon slaying each other, இப்படித் தனது தந்தையால் கசியபரால் ஆசீர்வதிக்கப்பட்ட கருடன்
and then accomplish the task that thou desirest, ஏரியின் அருகில் சென்றான்
eating that fierce elephant which looketh like a huge mountain and resembleth a mass of dark clouds, அவன் கருடன்
bring thou amrita, அந்தச் சுத்தமான நீர்பரப்பைச் ஏரியைச் சுற்றி பல்வேறு வகையான பறவைகளைக் கண்டான்
sauti continued, நகர்வதில் பெரும் வேகம் கொண்ட அந்த விண்ணோடி கருடன்
having said so unto garuda, தனது தந்தையின் கசியபரின் வார்த்தைகளை நினைவில் கொண்டு
he kasyapa blessed him, யானையை ஒரு காலிலும்
saying, ஆமையை மற்றொரு காலிலும் இறுகப் பற்றினான்
blest be thou when thou art in combat with the gods, அதன் பிறகு அந்தப் பறவையானவன் கருடன் உயரமாக விண்ணுக்குப் பறந்தான்
let water pitchers filled to the brim, அலம்ப தீர்த்தம் என்ற புனிதமான இடத்தை அடைந்து
brahmanas, அங்கு பல தெய்வீக மரங்களைக் கண்டான்
kine, அவனது சிறகுகள் எழுப்பிய காற்றின் தாக்கத்தால்
and other auspicious objects, அந்த மரங்கள் அச்சத்தால் நடுங்கத் தொடங்கின
bless thee, தங்கக் கிளைகள் கொண்ட அந்தத் தெய்வீக மரங்கள்
thou oviparous one, நாம் உடைந்து போவோமோ என்று அஞ்சின
and, விரும்பிய வரங்களைத் தரும் அந்த மரங்கள்
o thou of great strength, பயத்தால் நடுங்குவதைக் கண்ட அந்த விண்ணோடி
when thou art engaged with the gods in combat, ஒப்பற்ற தோற்றம் கொண்ட மற்ற மரங்களை நாடிச் சென்றான்
let the riks, ஒப்பற்ற தோற்றம் கொண்ட மற்ற மரங்களை நாடிச் சென்றான்
the yajus, அந்த மாபெரும் மரங்கள் தங்கம் மற்றும் வெள்ளியினாலான கிளைகளுடனும்
the samas, அந்த மாபெரும் மரங்கள் தங்கம் மற்றும் வெள்ளியினாலான கிளைகளுடனும்
the sacred sacricial butter, மற்றும் விலைமதிப்பற்ற கற்களைக் ரத்தினங்களைக் கொண்ட கனிகளுடனும் இருந்தன
all the mysteries upanishads, மற்றும் விலைமதிப்பற்ற கற்களைக் ரத்தினங்களைக் கொண்ட கனிகளுடனும் இருந்தன
constitute thy strength, அவை கடல் நீரால் சுத்தப்படுத்தப்பட்டு இருந்தன
garuda, அவை கடல் நீரால் சுத்தப்படுத்தப்பட்டு இருந்தன
thus addressed by his father, அங்குள்ள மரங்களிலேயே பிரமாண்ட அளவிலே வளர்ந்திருந்த ஒரு பெரும் ஆல மரத்தை
wended to the side of that lake, அங்குள்ள மரங்களிலேயே பிரமாண்ட அளவிலே வளர்ந்திருந்த ஒரு பெரும் ஆல மரத்தை
he saw that expanse of clear water with birds of various kinds all around, அந்தப் பறவைகளின் மன்னன் மனோ வேகத்துடன் நெருங்கும்போது
and remembering the words of his father, அந்தப் பறவைகளின் மன்னன் மனோ வேகத்துடன் நெருங்கும்போது
that ranger of the skies possessed of great swtness of motion, அந்த மரம்
seized the elephant and the tortoise, அந்த மரம்
one in each claw, ஒரு நூறு யோஜனை விரிந்து இருக்கும் எனது இந்தப் பெரிய கிளையில் அமர்ந்து
and that bird then soared high into the air, ஒரு நூறு யோஜனை விரிந்து இருக்கும் எனது இந்தப் பெரிய கிளையில் அமர்ந்து
and he came upon a sacred place called alamva and saw many divine trees, யானையையும்
and struck by the wind raised by his wings, யானையையும்
those trees began to shake with fear, ஆமையையும் உண்பாயாக என்றது
and those divine trees having golden boughs feared that they would break, ஆமையையும் உண்பாயாக என்றது
and the ranger of the skies seeing that those trees capable of granting every wish were quaking with fear, பறவைகளில் சிறந்தவனும்
went to other trees of incomparable appearance, பறவைகளில் சிறந்தவனும்
and those gigantic trees were adorned with fruits of gold and silver and branches of precious gems, மலை போன்ற உடல் கொண்டவனும்
and they were washed with the water of the sea, மலை போன்ற உடல் கொண்டவனும்
and there was a large banian among them, பெரும் வேகமுடையவனுமான அவன் கருடன்
which had grown into gigantic proportions, பெரும் வேகமுடையவனுமான அவன் கருடன்
that spoke unto that lord of bird coursing towards it with the fleetness of the mind, விரைவாக அந்த ஆலமரத்தின் கிளையில் உட்கார்ந்த போது
sit thou on this large branch of mine extending a hundred yojanas and eat the elephant and the tortoise, விரைவாக அந்த ஆலமரத்தின் கிளையில் உட்கார்ந்த போது
when that best of birds, இலைகளால் நிறைந்ததும்
of great swtness and of body resembling a mountain, இலைகளால் நிறைந்ததும்
quickly alighted upon a bough of that banian tree, ஆயிரக்கணக்கான சிறகுள்ள உயிரினங்களுக்கு பறவைகளுக்கு தங்குமிடமுமான அந்தக் கிளை ஆட்டம் கண்டு ஒடிந்து விழுந்தது என்றார் சௌதி
the resort of thousands of winged creatures-that bough also full of leaves shook and broke down, ஆயிரக்கணக்கான சிறகுள்ள உயிரினங்களுக்கு பறவைகளுக்கு தங்குமிடமுமான அந்தக் கிளை ஆட்டம் கண்டு ஒடிந்து விழுந்தது என்றார் சௌதி
sauti said, சௌதி தொடர்ந்தார்
at the very touch by garuda of great might with his feet, தனது காலால் பெரும் பலம் வாய்ந்த கருடன் தொட்டவுடனேயே
the branch of the tree broke as it was caught by garuda, அந்த மரத்தின் கிளை ஒடிந்தது
casting his eyes around in wonder he saw valakhilya rishis hanging therefrom with heads downwards and engaged in ascetic penances, அதைக் ஒடிந்த கிளையை கருடன் அலகால் பிடித்துக் கொண்டான்
reflecting that that bough fell down, வியப்பால் தனது பார்வையைச் சுழலவிட்ட கருடன்
the rishis would be slain, வாலகில்ய முனிவர்கள் அதிலிருந்து அந்த கிளையிலிருந்து தலைகீழாகத் தொங்கிக் கொண்டு தவமியற்றிக் கொண்டிருப்பதைக் கண்டான்
the mighty one held the elephant and the tortoise still more firmly with his claws, அந்தக் கிளை கீழே விழுந்தால் அந்த முனிவர்கள் கொல்லப்படுவார்கள் என்பதை உணர்ந்த அந்தப் பெரும்பலம் வாய்ந்தவன்
and from fear of slaying the rishis and desire of saving them, யானையையும்
held that bough in his beaks, ஆமையையும் இன்னும் இறுகப் பற்றினான்
and rose on his wings, முனிவர்கள் கொல்லப்படுவார்களே என்று அஞ்சி
the great rishis were struck with wonder at the sight of that act of his which was beyond even the power of the gods, அவர்களைக் காப்பாற்ற விருப்பங்கொண்டு
and gave that mighty bird a name, அந்தக் கிளையைத் தனது அலகால் பற்றி
and they said, சிறகுகளை அடித்து உயர்ந்தான்
as this ranger of the skies rises on its wings bearing a heavy burden, அந்தப் பெரும் முனிவர்கள் தேவர்களாலும் முடியாத இந்தச் செயலைக் கண்டு வியந்து
let this foremost of birds having snakes for his food be called garuda bearer of heavy weight, அந்த வலிமைமிகுந்த பறவைக்கு ஒரு பெயர் கொடுத்தனர்[]
and shaking the mountains by his wings, வாலகில்யர்கள்
garuda leisurely coursed through the skies, பாம்புகளை உணவாக உண்பவனும்
and as he soared with the elephant and the tortoise in his claws, பறவைகளில் முதன்மையானவனும்
he beheld various regions underneath, விண்ணோடியுமான இவன் கருடன்
desiring as he did to save the valakhilyas, பெரும் சுமையைச் சுமந்து கொண்டிருக்கும்போதும்
he saw not a spot whereon to sit, தனது சிறகுகளால் உயர்வதால்
at last he went to that foremost of mountains called gandhamadana, கருடன் பெரும் சுமையைச் சுமப்பவன் என்று அறியப்படட்டும் என்றனர்
there he saw his father kasyapa engaged in ascetic devotions, [] கருடனுக்கு வாலகில்யர்கள்தான் பெயர் கொடுக்கிறார்கள்
kasyapa also saw his son, அதற்கு முன்பு அவனுக்கு என்ன பெயர்? வேறொரு பதிப்பில் வைநதேயன் என்ற பெயர் வழங்கப்பட்டுள்ளது
that ranger of the skies, வைநதேயன் என்றால் வினதையின் மகன் என்று பொருள்
of divine form, தனது சிறகுகளால் மலைகளை நடுங்க வைத்த கருடன்
possessed of great splendour, நிதானமாக வானத்தில் பறந்து சென்றான்
and energy and strength, யானை மற்றும் ஆமையோடு கைகளில் பிடித்து உயர்ந்த பறந்த போது கீழே இருக்கும் பல்வேறு பகுதிகளை நோக்கினான்
and endued with the speed of the wind or the mind, வாலகில்யர்களைக் காப்பாற்ற விரும்பிய அவன்
huge as a mountain peak, அமர ஓர் இடமும் காணவில்லை
a ready smiter like the curse of a brahmana, கடைசியாக மலைகளில் முதன்மையான கந்தமாதன மலைக்குச் சென்றான்
inconceivable, அங்கே அர்ப்பணிப்புடன் தவத்தில் ஈடுபட்டுக் கொண்டிருக்கும் தனது தந்தை கசியபரைக் கண்டான்
indescribable, அந்த விண்ணோடியை
frightful to all creatures, அந்தத் தெய்வீக வடிவிலானவனை
possessed of great prowess, அதிகப் பிரகாசமும்
terrible, பலமும் சக்தியும் கொண்டவனை
of the splendour of agni himself, காற்றுவேகம்
and incapable of being overcome by the deities, மனோவேகம் கொண்டவனை
danavas, மலைச்சிகரம் போன்று பெரிதாக இருப்பவனை
and invincible rakshasas, பிராமணனின் சாபத்தைப் போல உடனே அடிக்கத் தயாராக இருப்பவனை
capable of splitting mountain summits and sucking the ocean itself and destroying the three worlds, புத்திக்கு எட்டாதவனை
fierce, விவரிக்க முடியாதவனை
and looking like yama himself, அனைத்து உயிருக்கும் அச்சத்தை ஏற்படுத்துபவனை
the illustrious kasyapa, பெரும் ஆற்றலுள்ளவனை
seeing him approach and knowing also his motive, பயங்கரமானவனை
spoke unto him these words:, அக்னி போலப் பிரகாசிப்பவனை
kasyapa said, தேவர்களாலும்
o child, தானவர்களாலும்
do not commit a rash act, அசுரர்களாலும் வெல்லப்பட முடியாதவனை
for then thou wouldst have to suffer pain, மலையைப் பிளந்து
the valakhilyas, பெருங்கடலைக் குடித்து மூன்று உலகங்களையும் அழிக்க வல்லவனை
supporting themselves by drinking the rays of the sun, மூர்க்கமாக யமனைப் போல் காட்சியளிப்பவனை
might, தனது மகனான கருடனை கசியபரும் கண்டார்
angry, அவன் தன்னை நெருங்கி வருவதைக் கவனித்த புகழ்பெற்ற கசியபர்
blast thee, அவனது நோக்கம் அறிந்து பேசினார்
sauti continued, கசியபர்
kasyapa then propitiated, ஓ குழந்தாய்! ஆராயாத கண்மூடித்தனமான செயலைச் செய்யாதே
for the sake of his son, அப்படிச் செய்தால் நீ வேதனையை அடைய வேண்டியிருக்கும்
the valakhilyas of exceeding good fortune and whose sins had been destroyed by ascetic penances, சூரியக் கதிர்களைக் குடித்து உயிர்தாங்கிக் கொண்டிருக்கும் இந்த வாலகில்யர்கள் கோபம் கொண்டால் உன்னைச் சிதறடித்து விடுவார்கள்என்றார் கசியபர்
and kasyapa said, சௌதி தொடர்ந்தார்
ye whose wealth is asceticism, தவப்பயன்களால் தங்களது பாவங்களை எரித்து
the essay of garuda is for the good of all creatures, நற்பேறு பெற்ற வாலகில்யர்களைச் சாந்தப்படுத்த எண்ணி கசியபர் தனது மகனுக்காக அவர்களிடம்
the task is great that he is striving to accomplish, ஆன்மீகத்தையே செல்வமாகக் கொண்டவர்களே
it behoveth you to accord him your permission, கருடனின் செயல்கள்
sauti continued, அனைத்து உயிருக்கும் நன்மை பயக்கும் செயல்களே
those ascetics thus addressed by the illustrious kasyapa, அவன் சாதிக்க நினைக்கும் இந்தப் பணி கடுமையானது
abandoned that bough and went to the sacred mountain of himavat for purposes of ascetic penances, நீங்கள் அவனுக்கு அனுமதி வழங்குங்கள் என்று வேண்டினார்
after those rishis had gone away, சௌதி தொடர்ந்தார்
the, புகழ்பெற்ற கசியபரால் இப்படி வேண்டிக்கொள்ளப்பட்ட அந்தத் துறவிகளும்
son of vinata, தங்கள் தவத் துறவுகளை இயற்ற
with voice obstructed by the bough in his beaks, அந்தக் கிளையைக் கைவிட்டு
asked his father kasyapa saying, புனிதமான இமய மலைக்குச் சென்றனர்
o illustrious one, முனிவர்கள் சென்றதும்
where shall i throw this arm of the tree? o illustrious one, அந்த வினதையின் மைந்தன் கருடன்
indicate to me some region without human beings, கிளையைத் தனது வாயில் வைத்துக்கொண்டே தடைபட்ட குரலுடன் தனது தந்தை கசியபரிடம்
then kasyapa spoke of a mountain without human beings with caves and dales always covered with snow and incapable of approach by ordinary creatures even in thought, ஓ சிறப்புமிக்கவரே! இந்த மரத்தின் கிளையை நான் எங்கே வீசி எறிவது? ஓ புகழ்பெற்றவரே! மனிதர்கள் இல்லாத ஒரு பகுதியை எனக்குச் சுட்டிக் காட்டுவீராக என்று கேட்டான்
and the great bird bearing that branch, கசியபர்
that elephant, குகைகளும்
and that tortoise, எப்போதும் பனி மூடிய பள்ளத்தாக்குகளும் உள்ள
proceeded with great speed towards that mountain, சாதாரண உயிரினங்கள் எண்ணத்தால்கூட நெருங்க முடியாத மனிதர்களற்ற ஒரு மலையைப் பற்றிச் சொன்னார்
the great arm of the tree with which that bird of huge body flew away could not be girt round with a cord made of a hundred cow hides, அந்தப் பெரும்பறவையானவன் கிளையையும்
garuda, யானையையும்
the lord of birds, ஆமையையும் தாங்கிக் கொண்டு அந்த மலையை நோக்கி வேகமாகப் பறந்து சென்றான்
then flew away for hundreds of thousand of yojanas within--the shortest time, பெரும் உடல் படைத்த அந்தப் பறவை தூக்கிச் சென்ற மரத்தின் பெருங்கிளையை நூறு தோல்களைக் விலங்குத் தோல்களைக் கொண்டு வார் கயிறு[] அமைத்தாலும் சுற்றிக் கட்ட முடியாது
and going according to the directions of his father to that mountain almost in a moment, பறவைகளின் மன்னன் கருடன்
that ranger of the skies let fall the gigantic bough, நூறாயிரம் யோஜனைகளை மிகக் குறைந்த நேரத்தில் பறந்து கடந்தான்
and it fell with a great noise, அந்த விண்ணோடி
and that prince of mountains shook, நொடிப்பொழுதில் தனது தந்தை சுட்டிக்காட்டிய திசையைப் பின்பற்றி மலையை அடைந்து
struck with the storm raised by garudas wings, அந்தப் பிரம்மாண்டமான கிளையைக் கீழே விட்டான்
and the trees thereon dropped showers of flowers, அது பேரொலியுடன் விழுந்தது
and the peaks decked with gems and gold adorning that great mountain itself, [] நூறு மாடுகளின் தோலினால் செய்யப்பட்ட வார் என்பது பழைய உரை என்று கும்பகோணம் பதிப்பில் காணப்படுகிறது
were loosened and tell down on all sides, கருடனின் சிறகுகளால் எழும்பிய புயலால் தாக்கப்பட்டு
and the falling bough struck down numerous trees which, அந்த மலைகளின் இளவரசன் நடுங்கினான்
with golden flowers amid dark foliage, அங்கிருந்த மரங்களும் பூக்களைச் சொரிந்தன
shone there like clouds charged with lightning, ரத்தினங்களையும் தங்கங்களையும் கொண்டு அந்த மலையை அலங்கரித்த சிகரங்கள்
and those trees, கட்டறுந்து எல்லாப்புறமும் கீழே விழுந்தன
bright as gold, கீழே விழுந்த அந்தக் கிளை
falling down upon the ground and, மின்னலைக் கொண்டிருக்கும் மேகங்கள் போலக் கரும் இலை கொத்துக்களின் நடுவே தங்க மலர்களைக் கொண்ட மரங்கள் மீது விழுந்து
dyed with mountain metals, அவற்றைச் சாய்த்தது
shone as they were bathed in the rays of the sun, தங்கம் போன்று ஒளிவீசும் அம்மரங்கள் கீழே விழுந்து
then that best of birds, மலை உலோகங்களின் சாயமேற்றப்பட்டு
garuda, சூரியக் கதிர்களில் குளித்ததைப் போல ஒளிர்ந்தன
perching on the summit of that mountain, பிறகு
ate both the elephant and the tortoise, அந்தப் பறவைகளில் சிறந்தவனான கருடன்
rose on his wings with great speed from the top of the mountain, அந்த மலையின் உச்சியில் அமர்ந்து யானையையும்
and various omens began to appear among the gods foreboding fear, ஆமையையும் உண்டு
indras favourite thunderbolt blazed up in a fright, அந்த மலையை விட்டுச் சிறகடித்துப் பெரும் வேகத்துடன் பறந்தான்
meteors with flames and smoke, அதே நேரத்தில் பல்வேறு தீய சகுனங்கள் தோன்றி தேவர்களை அச்சத்தில் ஆழ்த்தின
loosened from the welkin, இந்திரனுக்குப் பிடித்த வஜ்ராயுதம்
shot down during the day, பயத்தால் ஒளிர்ந்தது
and the weapons of the vasus, ஆகாயத்திலிருந்து விண்கற்கள் நெருப்புடனும் புகையுடனும் பகலிலேயே விழுந்தன
the rudras, வசுக்கள்
the adityas, ருத்ரர்கள்
the sabhyas, ஆதித்தியர்கள்
the maruts, சப்யர்கள்
and other gods, மருத்துக்கள் மற்றும் மற்ற தேவர்களின் ஆயுதங்கள் தங்களுக்குள் தங்கள் சக்தியை செலவிட்டன
began to spend their force against one another, அதாவது அவற்றுக்குள்ளேயே சண்டையிட்டன
such a thing had never happened even during the war between the gods and the asuras, தேவாசுரப் போர் நிகழ்ந்துபோது கூட இப்படிப்பட்ட நிகழ்ச்சி நடந்ததில்லை
and the winds blew accompanied with thunder, இடியுடன் கூடிய காற்று அடித்தது
and meteors fell by thousands, விண்கற்கள் ஆயிரக்கணக்கில் விழுந்தன
and the sky, வானம் மேகமற்றதாய் இருந்தாலும்
though cloudless, முழங்கிக் கொண்டே இருந்தது
roared tremendously, தேவர்களுக்குத் தேவனும் இரத்த மழையைப் பொழிந்தான்
and even he who was the god of gods shed showers of blood, தேவர்களின் கழுத்திலிருந்த பூமாலைகள் வாடி அவர்கள் வீரம் மங்கியது
and the flowery garlands on the necks of the gods faded and their prowess suffered diminution, கொடூரமான மேகத் திரள்
and terrible masses of clouds dropped thick showers of blood, அடர்ந்த இரத்த மழையைப் பொழிந்தன
and the dust raised by the winds darkened the splendour of the very coronets of the gods, பிருஹஸ்பதி
and he of a thousand sacrices indra, காற்றினால் எழும்பிய புழுதியானது தேவர்களின் கிரீடங்களின் பளபளப்பை குறைத்து மங்கியதாக்கியது
with the other gods, இந்தத் தீய தடைகளைக் கண்டு மற்ற தேவர்களுடன் சேர்ந்து அச்சத்தால் குழம்பிப் போன ஆயிரம் வேள்விகள் செய்தவன் இந்திரன்
perplexed with fear at the sight of those dark forebodings spoke unto vrihaspati thus, பிருஹஸ்பதியிடம்
why, ஓ வழிபடத் தகுந்தவரே
o worshipful one, இந்த இயற்கைச் சீற்றங்கள் திடீரென ஏன் எழுந்தன? போரில் எங்களை வெல்ல எந்த எதிரியையும் நான் காணவில்லையே என்றான்
have these natural disturbances suddenly arisen? no foe do i behold who would oppress us in war, பிருஹஸ்பதி
vrihaspati answered, ஓ தேவர்கள் தலைவனே
o chief of the gods, ஓ ஆயிரம் வேள்வி நடத்தியவனே இந்திரா
o thou of a thousand sacrices, உனது தவறும்
it is from thy fault and carelessness, கவனக்குறைவும்
and owing also to the ascetic penance of the high-souled great rishis, உயரான்ம வாலகில்ய முனிவர்களின் ஆன்மிகத் தவமுமே இதற்கெல்லாம் காரணம்
the valakhilyas, பெரும் பலம்பொருந்திய விண்ணோடியும்
that the son of kasyapa and vinata, நினைத்த உருவத்தை நினைத்தமாத்திரத்தில் அடைபவனுமான கசியபர் மற்றும் வினதையின் மகன் கருடன்
a ranger of the skies endued with great strength and possessing, சோமத்தை அபகரிக்க நெருங்கி வருகிறான்
the capacity of assuming at will any form, பெரும் வலிமை படைத்தவர்களில் முதன்மையானவனான அந்தப் பறவையால் உன்னிடமிருந்து சோமத்தை கவர முடியும்
is approaching to take away the soma, அவனால் எல்லாம் முடியும்
and that bird, அடைய முடியாத ஒன்றை அவனால் எளிதாக அடைய முடியும்
foremost among all endued with great strength, சௌதி தொடர்ந்தார்
is able to rob you of the soma, இந்த வார்த்தைகளைக் கேட்ட இந்திரன்
